address,location/lat,location/lng,phone,reviewsCount,title,totalScore,url,website,category
"Legerova 1820/39, 120 00 Nové Město, Czechia",50.0738075,14.4301889,+420 737 626 848,1502.0,Legenda,3.9,"https://www.google.com/maps/place/Legenda/@50.0738075,14.4280002,17z/data=!3m1!4b1!4m5!3m4!1s0x470b948bfcada51b:0x5d7d58ab7493a840!8m2!3d50.0738075!4d14.4301889?hl=en",legendapraha.cz,Restaurant
"Vrch sv. Kříže 1, 130 00 Praha 3-Žižkov, Czechia",50.084242700000004,14.4580951,+420 776 366 410,297.0,Hospůdka Parukářka,4.4,"https://www.google.com/maps/place/Hosp%C5%AFdka+Paruk%C3%A1%C5%99ka/@50.0842427,14.4559064,17z/data=!3m1!4b1!4m5!3m4!1s0x470b935e746935ad:0x17c6509cee64c3d6!8m2!3d50.0842427!4d14.4580951?hl=en",parukarka.cz,Party
"Chemická 953, 148 00 Praha-Kunratice, Czechia",50.0196973,14.496013399999999,+420 702 155 950,109.0,El Burger Pub,4.4,"https://www.google.com/maps/place/El+Burger+Pub/@50.0196973,14.4938247,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9228176f4c93:0x1bf3bede0bdd5ae5!8m2!3d50.0196973!4d14.4960134?hl=en",elburgerpub.cz,Restaurant
"Štěpánská 624/40, 110 00 Nové Město, Czechia",50.08,14.426389000000002,+420 222 820 420,316.0,BeBop Bar,4.7,"https://www.google.com/maps/place/BeBop+Bar/@50.08,14.4242003,17z/data=!3m1!4b1!4m5!3m4!1s0x470b948d54e10ddf:0xb985f0753746cb2!8m2!3d50.08!4d14.426389?hl=en",bebopbar.cz,Party
"Střelničná 1680/8, 180 00 Praha 8-Kobylisy, Czechia",50.128112,14.475709,+420 608 918 731,196.0,Pubs Satanka,4.2,"https://www.google.com/maps/place/Pubs+Satanka/@50.128112,14.4735203,17z/data=!3m1!4b1!4m5!3m4!1s0x470beb43b76c9e6d:0x51b72439f2326d01!8m2!3d50.128112!4d14.475709?hl=en",pivnicesatanka.cz,Party
"Hroznová 495, 118 00 Malá Strana, Czechia",50.0862755,14.408083900000001,+420 257 214 266      telephone booth5,1396.0,John Lennon Pub,4.0,"https://www.google.com/maps/place/John+Lennon+Pub/@50.0862755,14.4058952,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94e4746b32e7:0xaf5b918eaebcc5c5!8m2!3d50.0862755!4d14.4080839?hl=en",johnlennonpub.cz,Restaurant
"Dlouhá 33, 110 00 Staré Město, Czechia",50.0906597,14.425812300000002,+420 734 283 874,11175.0,Lokál,4.3,"https://www.google.com/maps/place/Lok%C3%A1l/@50.0906597,14.4236236,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94c1fb7e6819:0x2ddafe533906ce2!8m2!3d50.0906597!4d14.4258123?hl=en",lokal-dlouha.ambi.cz,Restaurant
"Pernerova 10, 186 00 Praha 8-Karlín, Czechia",50.090782,14.452997,+420 702 076 133,2502.0,Peter's Burger Pub,4.2,"https://www.google.com/maps/place/Peter's+Burger+Pub/@50.090782,14.4508083,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94a3c4f98db3:0x26a1a3f6f7195458!8m2!3d50.090782!4d14.452997?hl=en",burgerpub.cz,Restaurant
"Divoká Šárka 356, 164 00 Praha 6-Liboc, Czechia",50.099765999999995,14.320719,+420 606 760 647,389.0,Dívčí Skok Pub,3.7,"https://www.google.com/maps/place/D%C3%ADv%C4%8D%C3%AD+Skok+Pub/@50.099766,14.3185303,17z/data=!3m1!4b1!4m5!3m4!1s0x470bbfc1f34b69af:0xdec8cf7b65afca5e!8m2!3d50.099766!4d14.320719?hl=en",divciskok.cz,Party
"Herbenova 738/27, 109 00 Praha 15-Hostivař, Czechia",50.050696,14.538229999999999,+420 721 007 151,78.0,PUB U Sousedů,4.6,"https://www.google.com/maps/place/PUB+U+Soused%C5%AF/@50.050696,14.5360413,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9336c69286ab:0xf65c6b5d4ed77d92!8m2!3d50.050696!4d14.53823?hl=en",pubusousedu.webnode.cz,Party
"Františka Křížka 18, 170 00 Praha 7-Letná, Czechia",50.0991451,14.4307432,+420 724 899 723,80.0,Pivnice U Pivoje,4.6,"https://www.google.com/maps/place/Pivnice+U+Pivoje/@50.0991451,14.4285545,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94c66a35854b:0x57fda858bc3f1ee4!8m2!3d50.0991451!4d14.4307432?hl=en",prazdrojmenu.cz,Party
"Spálená 106/47, 110 00 Nové Město, Czechia",50.081481700000005,14.4193013,+420 722 137 284,260.0,London Underground Bar - Prague,4.6,"https://www.google.com/maps/place/London+Underground+Bar+-+Prague/@50.0814817,14.4171126,17z/data=!3m1!4b1!4m5!3m4!1s0x470b95d13360ce57:0xc365bb10bbde25c!8m2!3d50.0814817!4d14.4193013?hl=en",londonundergroundbar.com,Party
"Bělehradská 1350, 120 00 Praha 2-Vinohrady, Czechia",50.0681315,14.436153,+420 222 561 690,306.0,Excelsior pub,4.4,"https://www.google.com/maps/place/Excelsior+pub/@50.0681315,14.4339643,17z/data=!3m1!4b1!4m5!3m4!1s0x470b947d5bd8f79d:0x62fa8efe166f256c!8m2!3d50.0681315!4d14.436153?hl=en",excelsiorpub.cz,Restaurant
"Újezd 19, 120 00 Malá Strana, Czechia",50.083008,14.404326000000001,+420 777 405 055,449.0,Popocafepetl - Újezd,3.8,"https://www.google.com/maps/place/Popocafepetl+-+%C3%9Ajezd/@50.083008,14.4021373,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94ed67f687d5:0xfc89bca772881afb!8m2!3d50.083008!4d14.404326?hl=en",popoujezd.cz,Party
"Karlova 44, 110 00 Staré Město, Czechia",50.0860664,14.4187637,+420 735 751 751,3397.0,Fat Cat Beerhouse & Restaurant,4.4,"https://www.google.com/maps/place/Fat+Cat+Beerhouse+%26+Restaurant/@50.0860664,14.416575,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94eed6423dc5:0x330eb0beed66d08c!8m2!3d50.0860664!4d14.4187637?hl=en",fat-cat.cz,Restaurant
"Stroupežnického 525/20, 150 00 Praha 5-Anděl, Czechia",50.07072279999999,14.4031552,+420 602 741 401,1583.0,Radegastovna Perón,4.2,"https://www.google.com/maps/place/Radegastovna+Per%C3%B3n/@50.0707228,14.4009665,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9456529880e9:0x7f18d74664a3d6f2!8m2!3d50.0707228!4d14.4031552?hl=en",peronsmichov.cz,Restaurant
"Anglická 41/9, 120 00 Vinohrady, Czechia",50.077271,14.432360000000001,+420 273 130 959,767.0,Pizzerie La Torretta (grill | pizza | pasta | pub),4.0,"https://www.google.com/maps/place/Pizzerie+La+Torretta+(grill+%7C+pizza+%7C+pasta+%7C+pub)/@50.077271,14.4301713,17z/data=!3m1!4b1!4m5!3m4!1s0x470b948dd6066461:0x48cbd70c16ea204a!8m2!3d50.077271!4d14.43236?hl=en",latorretta.cz,Restaurant
"5, Za Zahradou 1930, 162 00 Praha, Czechia",50.088055600000004,14.352777800000002,+420 608 839 184,298.0,The cafe Wind,4.6,"https://www.google.com/maps/place/The+cafe+Wind/@50.0880556,14.3505891,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9280309481ff:0xd3b272fe8a03027a!8m2!3d50.0880556!4d14.3527778?hl=en",kafedovetru.cz,Cafe
"15, Jirečkova 1015, Holešovice, 170 00 Praha 7, Czechia",50.0991726,14.422723399999999,+420 602 321 560,171.0,HANGÁR PUB - craft beer & wine & good Co.,4.6,"https://www.google.com/maps/place/HANG%C3%81R+PUB+-+craft+beer+%26+wine+%26+good+Co./@50.0991726,14.4205347,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94c527e7e3df:0xcadcdf4418ad4972!8m2!3d50.0991726!4d14.4227234?hl=en",hangarletna.business.site,Party
"Melantrichova 504/5, 110 00 Staré Město, Czechia",50.085257399999996,14.421165099999998,+420 776 151 517,584.0,One Club,3.9,"https://www.google.com/maps/place/One+Club/@50.0852574,14.4189764,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94eea48a224d:0x78c5293fe69062aa!8m2!3d50.0852574!4d14.4211651?hl=en",oneclubprague.cz,Party
"Máchova 22, 101 00 Praha 10-Vinohrady, Czechia",50.072336,14.4427836,+420 251 550 249,557.0,Javánka & Co.,4.6,"https://www.google.com/maps/place/Jav%C3%A1nka+%26+Co./@50.072336,14.4405949,17z/data=!3m1!4b1!4m5!3m4!1s0x470b948656135b7f:0xba48a709bfdb8eb4!8m2!3d50.072336!4d14.4427836?hl=en",javanka.eu,Restaurant
"Skandinávská 131/1, 155 00 Praha 13, Czechia",50.050811700000004,14.297806,+420 234 567 890,1639.0,IKEA Restaurant,4.2,"https://www.google.com/maps/place/IKEA+Restaurant/@50.0508117,14.2956173,17z/data=!3m1!4b1!4m5!3m4!1s0x470bbe0cf5f89307:0x3d0d8bd460057783!8m2!3d50.0508117!4d14.297806?hl=en",ikea.com,Restaurant
"Na Pankráci 15/1684, 140 00 Praha 4-Nusle, Czechia",50.0611966,14.427043,+420 296 895 030,9.0,Restaurant Esprit,3.9,"https://www.google.com/maps/place/Restaurant+Esprit/@50.0611966,14.4248543,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9465af674b1f:0xa6f0b3503d062d61!8m2!3d50.0611966!4d14.427043?hl=en",holidayinn.cz,Restaurant
"Starokolínská 54, 190 16 Praha 21, Czechia",50.0764401,14.657410500000001,+420 281 971 143,154.0,bakery Kollingerovi,4.7,"https://www.google.com/maps/place/bakery+Kollingerovi/@50.0764401,14.6552218,17z/data=!3m1!4b1!4m5!3m4!1s0x470b8cc98e9d38db:0x850e9b00ff8c236!8m2!3d50.0764401!4d14.6574105?hl=en",pekarstvikollinger.cz,Bakery
"Eliášova 279, 160 00 Praha 6-Bubeneč, Czechia",50.097934,14.401411900000001,+420 778 511 453,1283.0,Café Záhorský,4.4,"https://www.google.com/maps/place/Caf%C3%A9+Z%C3%A1horsk%C3%BD/@50.097934,14.3992232,17z/data=!3m1!4b1!4m5!3m4!1s0x470b95213c29d059:0x614e20245214a255!8m2!3d50.097934!4d14.4014119?hl=en",cafezahorsky.cz,Restaurant
"Křižovnická 60/10, 110 00 Josefov, Czechia",50.0880223,14.415538199999999,+420 222 328 758,1211.0,"Pivnice a restaurace U Rudolfina, s.r.o.",4.1,"https://www.google.com/maps/place/Pivnice+a+restaurace+U+Rudolfina,+s.r.o./@50.0880223,14.4133495,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94e61ed421b7:0xfd30ff07ff6371d6!8m2!3d50.0880223!4d14.4155382?hl=en",urudolfina.cz,Party
"26, Chopinova 1521, Vinohrady, 120 00, Czechia",50.0812886,14.4441255,+420 725 319 226,1898.0,The Tavern,4.6,"https://www.google.com/maps/place/The+Tavern/@50.0812886,14.4419368,17z/data=!3m1!4b1!4m5!3m4!1s0x470b949a5b6ba821:0x5933f090bd7af57!8m2!3d50.0812886!4d14.4441255?hl=en",thetavern.cz,Restaurant
"Bulovka 373, 180 00 Praha 8-Libeň, Czechia",50.1152778,14.4663889,+420 602 431 077,642.0,Pivovar u Bulovky,4.2,"https://www.google.com/maps/place/Pivovar+u+Bulovky/@50.1152778,14.4642002,17z/data=!3m1!4b1!4m5!3m4!1s0x470beb50ce1823f1:0x241577a667d3269b!8m2!3d50.1152778!4d14.4663889?hl=en",pivovarubulovky.cz,Party
"Křemencova 11, 110 00 Nové Město, Czechia",50.0788654,14.4170441,+420 224 934 019,19161.0,U Fleků,4.1,"https://www.google.com/maps/place/U+Flek%C5%AF/@50.0788654,14.4148554,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94f19e4484f1:0x54bee29643380f2!8m2!3d50.0788654!4d14.4170441?hl=en",ufleku.cz,Restaurant
"Štěpánská 650, 110 00 Nové Město, Czechia",50.07770479999999,14.424912599999999,+420 266 316 028,12.0,The Londoners - Music Bar,3.7,"https://www.google.com/maps/place/The+Londoners+-+Music+Bar/@50.0777048,14.4227239,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94f32a483843:0xc65ff3212ffec6c0!8m2!3d50.0777048!4d14.4249126?hl=en",londonerspraha.cz,Party
"Štupartská 745/9, 110 00 Staré Město, Czechia",50.087807299999994,14.424816,+420 222 314 308,2768.0,Pivnice Štupartská,4.1,"https://www.google.com/maps/place/Pivnice+%C5%A0tupartsk%C3%A1/@50.0878073,14.4226273,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94ebc85a1c1f:0xa996c0f63a3ba21b!8m2!3d50.0878073!4d14.424816?hl=en",pivnicestupartska.cz,Party
"Karoliny Světlé 26, 110 00 Staré Město, Czechia",50.0840083,14.414281200000001,+420 773 974 764,2444.0,Hemingway Bar,4.7,"https://www.google.com/maps/place/Hemingway+Bar/@50.0840083,14.4120925,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94ef8691187b:0x1d153fcc2515e407!8m2!3d50.0840083!4d14.4142812?hl=en",hemingwaybar.eu,Party
"Bělohorská 63, 160 00 Praha 6, Czechia",50.083611100000006,14.3711111,+420 245 006 126,276.0,Hostinec Drinopol,4.3,"https://www.google.com/maps/place/Hostinec+Drinopol/@50.0836111,14.3689224,17z/data=!3m1!4b1!4m5!3m4!1s0x470b950cc3bc65c1:0x439012eee26456e8!8m2!3d50.0836111!4d14.3711111?hl=en",drinopol.cz,Party
"Národní obrany 824/35, 160 00 Praha 6-Bubeneč, Czechia",50.101240600000004,14.3975994,+420 224 316 170,3.0,Merhautovo bakery,4.7,"https://www.google.com/maps/place/Merhautovo+bakery/@50.1012406,14.3954107,17z/data=!3m1!4b1!4m5!3m4!1s0x470b95245f184229:0x16537e44def8793b!8m2!3d50.1012406!4d14.3975994?hl=en",merhautovo.cz,Bakery
"Husitská 33/34, 130 00 Praha 3-Žižkov, Czechia",50.087070700000005,14.443805599999997,+420 725 997 912,51.0,muffin concept - bakery café,4.8,"https://www.google.com/maps/place/muffin+concept+-+bakery+caf%C3%A9/@50.0870707,14.4416169,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94978d8e43fd:0x6ca93e5706f611fa!8m2!3d50.0870707!4d14.4438056?hl=en",muffin-concept.cz,Bakery
"27, J. Želivského 1860, 130 00 Praha 3, Czechia",50.0877716,14.4690045,+420 222 585 989,114.0,Café and patisserie SMIS,4.3,"https://www.google.com/maps/place/Caf%C3%A9+and+patisserie+SMIS/@50.0877716,14.4668158,17z/data=!3m1!4b1!4m5!3m4!1s0x470b935db60966c1:0xa05aadda8cb9781a!8m2!3d50.0877716!4d14.4690045?hl=en",cukrarna-smis.cz,Cafe
"Národní 8, 110 00 Nové Město, Czechia",50.0812624,14.415243599999998,+420 222 544 932,4382.0,Pivovar Národní,4.2,"https://www.google.com/maps/place/Pivovar+N%C3%A1rodn%C3%AD/@50.0812624,14.4130549,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94f02951536d:0x83a2b808dbbb1949!8m2!3d50.0812624!4d14.4152436?hl=en",pivovarnarodni.cz,Party
"Jana Růžičky 1232, 148 00 Praha-Kunratice, Czechia",50.022335999999996,14.4872109,+420 271 913 360,305.0,The Green Bird,4.2,"https://www.google.com/maps/place/The+Green+Bird/@50.022336,14.4850222,17z/data=!3m1!4b1!4m5!3m4!1s0x470b922a56416dd1:0x1fe740bb883e89a!8m2!3d50.022336!4d14.4872109?hl=en",uptaka.cz,Party
"Mostecká 13, 118 00 Malá Strana, Czechia",50.0872632,14.405628899999998,+420 257 530 070,288.0,Bar Legend 13,4.5,"https://www.google.com/maps/place/Bar+Legend+13/@50.0872632,14.4034402,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94e3c5bc0727:0x2ce85b5104cbfc49!8m2!3d50.0872632!4d14.4056289?hl=en",legend13.cz,Party
"Lidická 796/20, 150 00 Praha 5-Anděl, Czechia",50.0725407,14.4074201,+420 775 154 198,2912.0,Kozlovna Lidická,4.3,"https://www.google.com/maps/place/Kozlovna+Lidick%C3%A1/@50.0725407,14.4052314,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94f8040798a1:0x68097f04d9fcb8eb!8m2!3d50.0725407!4d14.4074201?hl=en",kozlovna.eu,Restaurant
"Počernická 473, 108 00 Praha 10, Czechia",50.083336700000004,14.506071300000002,+420 606 290 596,196.0,BAMBOO music pub.,4.5,"https://www.google.com/maps/place/BAMBOO+music+pub./@50.0833367,14.5038826,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9323b5afe333:0xb7c4f27f32632617!8m2!3d50.0833367!4d14.5060713?hl=en",bamboopub.cz,Party
"Na Zbořenci 261, 120 00 Nové Město, Czechia",50.0771833,14.4192078,+420 603 782 970,425.0,Praha - restaurace U Žaludů,4.2,"https://www.google.com/maps/place/Praha+-+restaurace+U+%C5%BDalud%C5%AF/@50.0771833,14.4170191,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94f15c6a2ed7:0xe70575845eb939f6!8m2!3d50.0771833!4d14.4192078?hl=en",morlor.com,Party
"M. Horákové 125, 160 00 Praha 6-Letná, Czechia",50.096740000000004,14.4033977,+420 220 610 838,1649.0,Na Hradcanske Restaurant,4.5,"https://www.google.com/maps/place/Na+Hradcanske+Restaurant/@50.09674,14.401209,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9520f0f10dc5:0xb206748c4c14ccfb!8m2!3d50.09674!4d14.4033977?hl=en",nahradcanske.cz,Restaurant
"Škrétova 432, 120 00 Nové Město, Czechia",50.0775,14.4313889,+420 603 263 967,108.0,Hospůdka U Demínky,4.5,"https://www.google.com/maps/place/Hosp%C5%AFdka+U+Dem%C3%ADnky/@50.0775,14.4292002,17z/data=!3m1!4b1!4m5!3m4!1s0x470b948dcfb31c5f:0xc52586bc045e41c4!8m2!3d50.0775!4d14.4313889?hl=en",udeminky.cz,Party
"Elišky Peškové 79/9, 150 00 Praha 5-Smíchov, Czechia",50.0775662,14.405128099999999,+420 724 388 130,320.0,ALE! bar,4.6,"https://www.google.com/maps/place/ALE!+bar/@50.0775662,14.4029394,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94f9605e3d0f:0xaa4bac7b8a218710!8m2!3d50.0775662!4d14.4051281?hl=en",alebar.cz,Party
"Lodecká 1900, 110 00 Nové Město, Czechia",50.0921266,14.4331789,+420 607 633 779,54.0,Bejvávalo,4.3,"https://www.google.com/maps/place/Bejv%C3%A1valo/@50.0921266,14.4309902,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94bf871dd599:0x63e7898e5b3d6623!8m2!3d50.0921266!4d14.4331789?hl=en",bejvavalo.eu,Party
"Karoliny Světlé 1035/17, 110 00 Staré Město, Czechia",50.0825898,14.414501500000002,+420 224 227 227,1097.0,Hostinec U rotundy,4.5,"https://www.google.com/maps/place/Hostinec+U+rotundy/@50.0825898,14.4123128,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94efe9273e35:0x6a83bc92d73ca0bd!8m2!3d50.0825898!4d14.4145015?hl=en",pivniceurotundy.cz,Party
"117 Vinohradská 1535, Vinohrady, 130 00 Praha, Czechia",50.0775505,14.455020000000001,+420 734 593 710,738.0,Hospůdka V Ateliéru,4.2,"https://www.google.com/maps/place/Hosp%C5%AFdka+V+Ateli%C3%A9ru/@50.0775505,14.4528313,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9362a6a31c77:0x4728fc797c95ee8a!8m2!3d50.0775505!4d14.45502?hl=en",vatelieru.cz,Party
"Spálená 31, 110 00 Nové Město, Czechia",50.0805859,14.419597699999999,+420 731 502 000,76.0,Chilli & Pepper Pub,4.7,"https://www.google.com/maps/place/Chilli+%26+Pepper+Pub/@50.0805859,14.417409,17z/data=!3m1!4b1!4m5!3m4!1s0x470b959daa792ebb:0xce28bb5a8a0befb9!8m2!3d50.0805859!4d14.4195977?hl=en",chillipepper.makro.bar,Restaurant
